workload,run,mode,real_sec,user_sec,sys_sec
seek_suppression,10,none,0.1150,0.0080,0.0110
seek_suppression,10,baseline,0.1180,0.0170,0.0010
seek_suppression,10,adaptive,0.1250,0.0160,0.0010
seek_suppression,11,native,0.0540,0.0140,0.0060
seek_suppression,11,none,0.1130,0.0150,0.0030
seek_suppression,11,baseline,0.1160,0.0170,0.0010
seek_suppression,11,adaptive,0.1200,0.0170,0.0010
seek_suppression,12,native,0.0550,0.0130,0.0060
seek_suppression,12,none,0.1130,0.0140,0.0030
seek_suppression,12,baseline,0.1210,0.0100,0.0080
seek_suppression,12,adaptive,0.1190,0.0180,0.0000
seek_suppression,13,native,0.0570,0.0140,0.0060
seek_suppression,13,none,0.1150,0.0170,0.0010
seek_suppression,13,baseline,0.1150,0.0180,0.0000
seek_suppression,13,adaptive,0.1180,0.0140,0.0040
seek_suppression,14,native,0.0560,0.0080,0.0120
seek_suppression,14,none,0.1140,0.0110,0.0080
seek_suppression,14,baseline,0.1150,0.0120,0.0060
seek_suppression,14,adaptive,0.1170,0.0140,0.0040
seek_suppression,15,native,0.0580,0.0110,0.0090
seek_suppression,15,none,0.1150,0.0170,0.0010
seek_suppression,15,baseline,0.1210,0.0190,0.0000
seek_suppression,15,adaptive,0.1120,0.0090,0.0090
seek_suppression,16,native,0.0570,0.0110,0.0090
seek_suppression,16,none,0.1190,0.0130,0.0050
seek_suppression,16,baseline,0.1180,0.0180,0.0000
seek_suppression,16,adaptive,0.1200,0.0120,0.0060
seek_suppression,17,native,0.0570,0.0170,0.0030
seek_suppression,17,none,0.1130,0.0130,0.0050
seek_suppression,17,baseline,0.1160,0.0110,0.0080
seek_suppression,17,adaptive,0.1160,0.0110,0.0070
seek_suppression,18,native,0.0570,0.0140,0.0060
seek_suppression,18,none,0.1170,0.0150,0.0030
seek_suppression,18,baseline,0.1160,0.0170,0.0010
seek_suppression,18,adaptive,0.1190,0.0170,0.0020
seek_suppression,19,native,0.0580,0.0150,0.0040
seek_suppression,19,none,0.1190,0.0150,0.0040
seek_suppression,19,baseline,0.1170,0.0160,0.0010
seek_suppression,19,adaptive,0.1120,0.0170,0.0010
seek_suppression,20,native,0.0560,0.0130,0.0070
seek_suppression,20,none,0.1140,0.0180,0.0000
seek_suppression,20,baseline,0.1170,0.0130,0.0050
seek_suppression,20,adaptive,0.1150,0.0200,0.0000
tar_workload,1,native,0.0190,0.0020,0.0080
tar_workload,1,none,0.2310,0.0040,0.0090
tar_workload,1,baseline,0.2250,0.0080,0.0050
tar_workload,1,adaptive,0.2280,0.0060,0.0080
tar_workload,2,native,0.0190,0.0030,0.0060
tar_workload,2,none,0.2230,0.0020,0.0100
tar_workload,2,baseline,0.2370,0.0040,0.0090
tar_workload,2,adaptive,0.2300,0.0040,0.0090
tar_workload,3,native,0.0190,0.0030,0.0060
tar_workload,3,none,0.2250,0.0110,0.0020
tar_workload,3,baseline,0.2230,0.0050,0.0080
tar_workload,3,adaptive,0.2300,0.0030,0.0110
tar_workload,4,native,0.0200,0.0100,0.0000
tar_workload,4,none,0.2290,0.0090,0.0040
tar_workload,4,baseline,0.2350,0.0050,0.0080
tar_workload,4,adaptive,0.2280,0.0090,0.0040
tar_workload,5,native,0.0190,0.0030,0.0060
tar_workload,5,none,0.2150,0.0100,0.0020
tar_workload,5,baseline,0.2260,0.0060,0.0080
tar_workload,5,adaptive,0.2260,0.0110,0.0020
tar_workload,6,native,0.0190,0.0030,0.0060
tar_workload,6,none,0.2320,0.0030,0.0110
tar_workload,6,baseline,0.2260,0.0120,0.0020
tar_workload,6,adaptive,0.2290,0.0060,0.0070
tar_workload,7,native,0.0200,0.0030,0.0060
tar_workload,7,none,0.2300,0.0040,0.0090
tar_workload,7,baseline,0.2290,0.0040,0.0100
tar_workload,7,adaptive,0.2300,0.0040,0.0110
tar_workload,8,native,0.0200,0.0080,0.0010
tar_workload,8,none,0.2240,0.0110,0.0020
tar_workload,8,baseline,0.2290,0.0070,0.0070
tar_workload,8,adaptive,0.2250,0.0050,0.0080
tar_workload,9,native,0.0190,0.0030,0.0060
tar_workload,9,none,0.2330,0.0130,0.0000
tar_workload,9,baseline,0.2230,0.0070,0.0060
tar_workload,9,adaptive,0.2300,0.0060,0.0070
tar_workload,10,native,0.0190,0.0020,0.0090
tar_workload,10,none,0.2200,0.0120,0.0020
tar_workload,10,baseline,0.2970,0.0050,0.0110
tar_workload,10,adaptive,0.2300,0.0020,0.0110
tar_workload,11,native,0.0190,0.0070,0.0030
tar_workload,11,none,0.2260,0.0100,0.0030
tar_workload,11,baseline,0.2270,0.0040,0.0090
tar_workload,11,adaptive,0.2300,0.0020,0.0120
tar_workload,12,native,0.0190,0.0050,0.0050
tar_workload,12,none,0.2240,0.0040,0.0090
tar_workload,12,baseline,0.2240,0.0020,0.0110
tar_workload,12,adaptive,0.2300,0.0110,0.0020
tar_workload,13,native,0.0190,0.0030,0.0060
tar_workload,13,none,0.2240,0.0060,0.0070
tar_workload,13,baseline,0.2300,0.0040,0.0100
tar_workload,13,adaptive,0.2320,0.0060,0.0080
tar_workload,14,native,0.0190,0.0050,0.0050
tar_workload,14,none,0.2410,0.0030,0.0100
tar_workload,14,baseline,0.2290,0.0060,0.0070
tar_workload,14,adaptive,0.2310,0.0020,0.0110
tar_workload,15,native,0.0200,0.0030,0.0070
tar_workload,15,none,0.2210,0.0050,0.0080
tar_workload,15,baseline,0.2290,0.0050,0.0100
tar_workload,15,adaptive,0.2240,0.0040,0.0090
tar_workload,16,native,0.0190,0.0050,0.0050
tar_workload,16,none,0.2230,0.0060,0.0070
tar_workload,16,baseline,0.2300,0.0110,0.0020
